shuhei:~.$ python nelder.py -model CNN -num 0 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  6.863            -2.023           0.899            -4.365           6.468            4.524            5.726            5.804          
  6.836            -1.993           0.903            -4.290           6.431            4.612            5.726            5.861          
  6.977            -1.961           0.905            -4.434           6.477            4.584            5.738            5.889          
  6.780            -2.055           0.891            -4.296           6.529            4.715            5.584            5.819          
  6.662            -2.028           0.897            -4.392           6.362            4.665            5.726            5.741          
  6.937            -1.944           0.895            -4.351           6.537            4.584            5.584            6.044          
  6.836            -1.984           0.896            -4.318           6.441            4.612            5.658            5.861          
  6.836            -1.958           0.896            -4.238           6.468            4.524            5.763            5.861          
  6.913            -1.914           0.895            -4.180           6.441            4.715            5.568            5.953          


shuhei:~.$ python env.py -model CNN -num 0 -round 0 -cuda 1
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=1 python train.py -model CNN -num 0 -round 0 -batch_size 116 -lr 0.009477281978503416 -momentum 0.8989316317606257 -weight_decay 4.318980765341276e-05 -ch1 88 -ch2 23 -ch3 52 -ch4 55 -drop_rate 0.2554868774144591
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.00948                 146                     0.52266                 1.73498                 0.50570                 1.91596                 2019-04-19 02:14:26.630309  
  0.00948                 147                     0.52422                 1.73026                 0.52290                 1.78835                 2019-04-19 02:14:31.146039  
  0.00948                 148                     0.52436                 1.73159                 0.53800                 1.71144                 2019-04-19 02:14:35.670006  
  0.00948                 149                     0.52298                 1.73128                 0.53940                 1.70449                 2019-04-19 02:14:40.197844  
  0.00948                 150                     0.52532                 1.72481                 0.53740                 1.71784                 2019-04-19 02:14:44.793139  
  0.00948                 151                     0.52588                 1.72423                 0.48160                 2.04215                 2019-04-19 02:14:49.384398  
  0.00948                 152                     0.52470                 1.72654                 0.52450                 1.77712                 2019-04-19 02:14:53.940348  
  0.00948                 153                     0.52338                 1.72551                 0.53410                 1.76168                 2019-04-19 02:14:58.459868  
  0.00948                 154                     0.52588                 1.72375                 0.53250                 1.71996                 2019-04-19 02:15:02.921519  
  0.00948                 155                     0.52320                 1.72194                 0.52580                 1.77974                 2019-04-19 02:15:07.495174  
  0.00948                 156                     0.52714                 1.71485                 0.53870                 1.67500                 2019-04-19 02:15:12.000151  
  0.00948                 157                     0.52858                 1.71231                 0.53180                 1.74909                 2019-04-19 02:15:16.495786  
  0.00948                 158                     0.52596                 1.72363                 0.53930                 1.70487                 2019-04-19 02:15:21.069101  
  0.00948                 159                     0.52610                 1.71978                 0.49660                 1.94410                 2019-04-19 02:15:25.618668  
  0.00948                 160                     0.52348                 1.73047                 0.52110                 1.81479                 2019-04-19 02:15:30.194355  
Output: 1.675


