batch_size,lr,momentum,weight_decay,ch1,ch2,ch3,ch4,drop_rate,loss
79,0.008165444475475311,0.9116626795495266,0.0008423067910720208,92,48,25,41,0.23028267369098154,1.8676114212036132
96,0.027460592202800987,0.8601332391130534,5.0755696218820196e-05,47,89,28,30,0.10534621973582464,1.7477560443878173
88,0.013715241513911758,0.8629372411728996,0.00019743431853564734,69,86,28,37,0.07376573177312973,1.7184941627502441
75,0.03112184399587653,0.8807222656375503,1.61640827372439e-05,63,89,31,21,0.18655661484117594,1.8044376918673515
96,0.01471934263426057,0.8705889848353233,0.0002759280199415198,58,72,26,39,0.10980286735291182,1.7061326665878296
62,0.009285701426939581,0.8732093917226107,8.024168528617268e-05,69,89,26,29,0.035059464184000355,1.7416042494893074
89,0.01663002468972431,0.8711666602559323,0.00016019801156295232,85,102,24,40,-0.011020684377916423,100000000.0
82,0.016137981510654154,0.8744203266584807,9.576971128148172e-05,54,71,28,29,0.1608975859840176,1.7399063343048096
71,0.008597693142112794,0.8897132116123041,0.0002932246686432231,87,69,26,36,0.11418152004607521,1.7256351772546767
105,0.008425978008269802,0.8642876217210593,0.00014340443355276086,98,68,20,32,0.13449752603215348,1.733700664281845
64,0.0169510403852124,0.8820920813210279,0.0002130695593420345,77,77,36,40,0.11540453829539143,1.6945499069213867
49,0.021372419071864872,0.889267092494616,0.0003226629105238282,84,78,51,48,0.116115625487692,1.7532264322400093
75,0.007466881456682341,0.8145685605811452,0.0002014349363426434,67,71,23,32,0.14482347560513031,1.7081814071536063
109,0.01738158488109857,0.8539255439643805,0.0003484342471752398,74,61,27,40,0.22432691541372662,1.7394876150369645
88,0.010167621136390095,0.848160212874266,0.0003889873790274176,101,74,24,43,0.11258420015364473,1.725371981239319
63,0.00837973533785242,0.867373810881674,0.00010956411561564595,79,90,25,32,0.024323156221695258,1.7289608451128007
58,0.017265065854807464,0.8576975529384652,0.0002507552854450293,57,86,35,40,0.08966935231205544,1.744638419032097
90,0.010081085561860399,0.8626401045254108,0.00016490524069245573,85,72,23,33,0.12329048260212896,1.7426261187791825
78,0.015795827659136126,0.8763405330781756,0.00024247033142027856,66,74,30,39,0.11260370282415164,1.8077961753845215
69,0.011250395954090501,0.8483303209510866,0.0002071705894247971,71,73,28,35,0.13011400695026087,1.6699527728915216
72,0.01581140631884482,0.8661231941547138,0.00011071274578976582,80,78,29,34,0.11583150523886601,1.6792361186027527
74,0.018212542430445372,0.8727184785109239,0.00020047619014147155,68,74,33,38,0.15650576460700633,1.6834859169721603
75,0.015247544484121366,0.8725146612469638,0.00020510300643673007,72,81,31,38,0.09458513503426058,1.6882520553469658
75,0.013128280790129671,0.865126147097647,0.00028789124585333403,88,75,29,41,0.11399436922451808,1.7111030048131943
67,0.012072275828178282,0.8859026464666659,0.00024995449773113835,81,72,30,37,0.11479302917073332,1.716334295129776
63,0.011918273034686183,0.8747329461013509,0.00015278997949448592,77,83,29,35,0.06986384725854335,1.7007610993146896
81,0.011951112647075707,0.8731898515210437,0.00017480022730185696,86,72,26,35,0.12495103216377246,1.7052271046996117
64,0.01216548913120991,0.8660439841154742,0.00015494860447889984,91,78,29,34,0.11762812560770447,1.7025371751785279
74,0.015945022222356442,0.8520688346489411,0.00013515611511060038,76,81,29,36,0.11606882069156084,1.6948604839324952
66,0.015309669498979146,0.8699437090293589,9.919551309265562e-05,67,79,30,31,0.11732846985267442,1.728315190911293
72,0.013642606304379664,0.866330537580575,0.00022056893761694958,82,76,29,38,0.11482789438155716,1.7030457238197327
59,0.017319712042249275,0.8603557126191914,0.00017203763464630555,68,84,35,37,0.10412222073959446,1.704846869289875
64,0.015785472477080807,0.8635642473446545,0.00017272416241365015,72,80,32,37,0.10932942359563896,1.7197098766326904
70,0.013337337878227901,0.8572267575529002,0.00015144776261834822,75,75,28,34,0.12297275609456344,1.7228106812238693
71,0.014314269582244988,0.8605243997310053,0.0002037959039756355,69,73,30,36,0.1433098857786336,1.7095651863753796
71,0.013097362817528341,0.8604224910990252,0.00020613420564354526,71,76,29,36,0.11234957099226073,1.7076181533634662
66,0.013809631282819191,0.8652112011360573,0.0002100993721965184,73,74,31,37,0.12275927262282615,1.6850754238247871
71,0.013393573589534727,0.8501995778000139,0.0001673331169608362,73,76,28,35,0.12309141382091085,1.716547488129139
65,0.011579520315158978,0.8615316335262188,0.00017791455845454405,73,77,28,35,0.0999889271044021,1.725915950834751
66,0.011698998662334138,0.8571871525332804,0.00017916694371575216,80,75,28,34,0.12387106627898267,1.7196031584739686
70,0.012388895139197947,0.8573304292658308,0.0002137648165973644,76,74,28,36,0.12247095066590902,1.7233489907979964
74,0.011595462447506798,0.8607600862360651,0.00019029836079618312,78,72,26,35,0.12753251955701667,1.7188724218606948
74,0.013982490114355999,0.853400014541618,0.00020497149414652312,74,71,28,35,0.15078250462034543,1.72325055308342
70,0.013425198713853018,0.8567277933077364,0.0001690109258966191,71,73,28,34,0.13459193749315773,1.7264457887411118
70,0.012640219436749391,0.8571797702763072,0.00020157230643739538,74,73,28,35,0.1255011973727212,1.721693605542183
65,0.011631314513356682,0.861498153750769,0.00017560773001675748,73,77,28,35,0.10066231526147151,1.6955070414543152
68,0.011828650482317585,0.8586206098945688,0.0002456172412931863,71,73,28,36,0.1235141880465664,1.7284768279790879
69,0.01294302126995792,0.8575752206383174,0.0001709077900946183,74,74,28,34,0.12310811408256418,1.705374255657196
68,0.012546841661548564,0.8587554750293863,0.00017789526958374263,72,75,28,35,0.12045395048170704,1.6956736125707625
72,0.013768693203604632,0.859096608882659,0.00019982505371706662,65,73,28,36,0.12132472250938434,1.7046257781028749
64,0.014432187135537108,0.8551540135457838,0.0001901897890338467,64,77,31,35,0.11628375877632097,1.7141354209899902
65,0.012703742631863336,0.8668155077031171,0.00022253435932445564,67,73,29,35,0.11921205228029569,1.73476808822155
69,0.013217681200319121,0.8543535602757897,0.00017969487648175327,71,75,28,35,0.12212157343575705,1.687701162660122
74,0.01156144859526179,0.8616831934529041,0.00019333641806153792,78,71,26,35,0.12731699947142688,1.7106362422943115
71,0.012220591505628273,0.860050898476124,0.00019254491351800983,74,73,27,35,0.1245586892976504,1.7309789188325404
67,0.012464502393265076,0.856770761043572,0.00020862984152736285,71,73,29,35,0.12643663978654351,1.7400948390245439
69,0.012194430987074734,0.8513419406134382,0.00019294427557546508,71,73,27,35,0.12611779019300895,1.6978994628310204
66,0.011439269808070016,0.8549142373509278,0.0001907374030837222,71,74,27,35,0.1153881611058662,1.7264833949685097
68,0.011880948475004007,0.8535428979902364,0.00019197569600224715,71,73,27,35,0.12528397871598396,1.7105959490776061
70,0.012446013430450212,0.8537134649168728,0.00020346467546089313,67,73,27,35,0.1257193647298226,1.6954270914793015
69,0.012067067337561436,0.852952770794702,0.00018816765824974184,72,73,27,34,0.12661106051641252,1.7208641937017441
69,0.012138802150606804,0.8543764060250559,0.00020665174783627101,71,74,28,35,0.1212317889712608,1.6855445170640946
69,0.012690200967433484,0.8544273603410459,0.0002054763187060539,69,73,28,35,0.13671194636444722,1.7266763568878174
